link,name,event,start,end,hours,zero_hours,treated_hours,blocks,windows,blocks_with_window,weight,weight_plus,weight_minus,confirmed,source,type,message_coverage,directions,both_directions_coverage,message_ids,note,remit_frozen
GR-IT,GRITA,3,2024-10-29,2024-10-31,51,51,51,1,5,1,0.01925605912248402,0.009296287100521846,0.029242590312324013,False,,,0.0,,0.0,,,
GR-IT,GRITA,4,2024-12-13,2024-12-14,27,27,26,1,5,1,0.008769808569920939,0.0035756125343608877,0.023943559290128025,False,,,0.0,,0.0,,,
GR-IT,GRITA,5,2025-02-11,2025-02-14,75,75,75,1,5,1,0.030270906660710535,0.015987949248089342,0.061928982943873896,False,,,0.0,,0.0,,,
GR-IT,GRITA,6,2025-02-23,2025-06-08,2528,2503,2388,15,35,8,0.2674208672439899,0.35711941307813727,0.20072499438759714,False,,,0.0,,0.0,,,
GR-IT,GRITA,7,2025-07-06,2025-07-11,109,109,101,1,5,1,0.020759435098100503,0.016416050067934035,0.020665611079263957,False,,,0.0,,0.0,,,
GR-IT,GRITA,8,2025-07-28,2025-10-28,2204,2204,1877,12,12,3,0.3333092188749766,0.29117144754494345,0.34070951117516474,False,,,0.0,,0.0,,,
GR-IT,GRITA,9,2025-10-31,2025-11-02,57,57,57,1,5,1,0.0181395846768611,0.01208196143922955,0.050438826004570614,False,,,0.0,,0.0,,,
GR-IT,GRITA,10,2025-11-23,2025-11-24,29,29,0,0,0,0,0.0,0.0,0.0,False,,,0.0,,0.0,,,
GR-IT,GRITA,11,2025-12-15,2025-12-16,30,30,29,1,5,1,0.01042090325519271,0.003961910922132338,0.018867340474592393,False,,,0.0,,0.0,,,
GR-IT,GRITA,12,2026-04-03,2026-04-06,52,52,49,1,5,1,0.0036564544634561658,0.0037544003713431734,0.0012436358929810906,False,,,0.0,,0.0,,,
GR-IT,GRITA,13,2026-04-22,2026-06-09,1161,1161,1038,7,5,1,0.05042991500226258,0.07145957753250701,0.027483286833717438,False,,,0.0,,0.0,,,
GR-IT,GRITA,14,2026-07-27,2026-07-31,109,109,108,1,1,1,0.001996743792230818,0.004047327116905765,0.0008738246125029086,False,,,0.0,,0.0,,,
